id|gloss|text
00_0001|سوال هو|من هو
00_0002|هو معلم لغه اشاره|هو مدرس لغه اشاره
00_0003|استفهام هو معلم هو|هل انت مدرس
00_0004|هو معلم لا انا مدرسه|انت لست مدرس انا طالب
00_0005|هو سوال|هو من
00_0006|هو صديق مدرسه|هو زميلي في المدرسه
00_0007|استفهام هو صديق مدرسه|هل هو زميلك في المدرسه
00_0008|انا اسره رقم ثلاث اشخاص|اسرتي تتكون من ثلاث اشخاص
00_0009|رقم عمر ابن بنت|كم عمر ابنتك
00_0010|عمر اربع سن عمر|عمرها اربع سنوات
00_0011|عمر سن خمسون سن|عمره خمسين سنه
00_0012|سوال بنت ابن|اين ابنته
00_0013|عمر ابن خمسون سن|عمر ابنه خمسين سنه
00_0014|معرفه هو لغه اشاره|هو يعرف لغه الاشاره
00_0015|معرفه لغه اشاره|اعرف لغه الاشاره
00_0016|هو معرفه ام لغه اشاره|هل تعرف والدتك لغه الاشاره
00_0017|لا معرفه لغه اشاره|لا تعلم لغه الاشاره
00_0018|ممكن هو قدره كتابه اسم هو|ممكن تكتب اسمك
00_0019|انا كتابه|انا اكتب
00_0020|استفهام تاريخ الان سوال|ما هو تاريخ اليوم
00_0021|الان واحد شهر عشر|اليوم هو واحد اكتوبر
00_0022|انا ذهاب مدرسه سبب كره_قدم|انا اذهب الى المدرسه لالعب كره القدم
00_0023|انا قلب قدره|انوي القيام به
00_0024|هو رغبه شرب سوال|ماذا تريد ان تشرب
00_0025|انا رغبه شرب شاي|انا اريد ان اشرب الشاي
00_0026|هو رغبه اكل سوال|ماذا تريد ان تاكل
00_0027|انا رغبه اكل رز|اريد ان اكل رز
00_0028|انا رغبه ذهاب مكتبه بعد صيف|اريد ان اذهب الى المكتبه بعد الظهر
00_0029|هو رغبه بعد صيف سوال|ماذا تريد ان تفعل بعد الظهر
00_0030|انا رغبه ذهاب لوحه بقاله|اريد ان اذهب الى السوبرماركت بعد الظهر
00_0031|سبب رغبه شراء|ماذا تريد ان تشتري
00_0032|انا رغبه كوب شراء|اريد شراء كوب
00_0033|انا رغبه معرفه لغه اشاره|اريد ان اتعلم لغه الاشاره
00_0034|انا رغبه ذهاب مدرسه سبب قراءه غدا|اريد ان اذهب الى المدرسه لقراءه الكتب غدا
00_0035|رقم معلم مدرسه هو|كم عدد المدرسين في مدرستك
00_0036|رقم اشخاص مدرسه هو مدرسه|كم عدد الاشخاص في مدرستك
00_0037|سوال قط|اين القطه
00_0038|قط صغير تحت طاوله|القط الصغير تحت الطاوله
00_0039|اب هو منزل يوجد|والدك في المنزل
00_0040|لا منزل لا_يوجد|ليس في المنزل
00_0041|سوال اب|اين والدك
00_0042|اب مستشفى يوجد|والدي في المستشفى
00_0043|سوال عمل|اين يعمل
00_0044|صديق انا مدرسه|صديقي في المدرسه
00_0045|انا ام منزل|امي في المنزل
00_0046|سوال كوب شرب|اين الكوب
00_0047|سوال صديق هو|اين اصدقائك
00_0048|قراءه سوال مكان مدرسه|القراءه في المدرسه
00_0049|طاوله هو سوال|ماذا يوجد على الطاوله
00_0050|طاوله كتاب لاب_توب يوجد|هناك كتب و كمبيوترعلى الطاوله
00_0051|هو اسم هو|ما اسمه
00_0052|اسم هو ولد خلف|ما اسم ذلك الرجل في الخلف
00_0053|استئذان انا كرسي الان|ممكن اجلس على الكرسي
00_0054|استئذان دعوه كرسي|من فضلك اجلس
00_0055|سوال كرسي يوجد سوال|ماذا يوجد على الكرسي
00_0056|كرسي قط صغير فوق_كرسي|هناك قط صغير على الكرسي
00_0057|يوجد مدرسه يوجد بيع|يوجد متجر في المدرسه
00_0058|رقم وقت الان|كم الوقت الان
00_0059|وقت سوال عشر|الساعه العاشره
00_0060|وقت هو صيف اكل وقت سوال|متى تاكل في الظهر
00_0061|تاريخ وقت اب انا منزل اخر تاريخ|متى سيعود ابي الى المنزل
00_0062|وقت خمس ليل|الوقت الخامسه مساء
00_0063|هو تاريخ ذهاب سينما فيلم تاريخ|متى نذهب الى السينما
00_0064|هو الان مطر|يوجد مطر الان
00_0065|لا مطر الان لا|لا يوجد مطر الان
00_0066|لا برد الان|لا يوجد برد الان
00_0067|سوال صحه هو|كيف حالك
00_0068|شكر د|شكرا دكتور
00_0069|هو مطر غدا|هل ستمطر غدا
00_0070|لا غدا مطر لا|لن تمطر غدا
00_0071|هو عمل سوال|ماذا تعمل
00_0072|انا شعر قراءه|انا اقرا
00_0073|انا شراء تفاحه موزه انواع|انا اشتريت فواكه
00_0074|انا سعيد مقابله|انا سعيد بلقائك
00_0075|هو رغبه رياضه سوال قلب رغبه سوال|ما هي الرياضه التي تحبها
00_0076|انا حب كره_قدم كثير حب|احب لعب كره القدم كثيرا
00_0077|سوال هو شراء تفاحه|هل اشتريت التفاح
00_0078|انا شراء تفاحه لا_يوجد|انا لم اشتري التفاح
00_0079|هو لبس جيد حلو|لبسه جميل
00_0080|جو برد قليل|الجو بارد قليلا
00_0081|انا الان ماضي تعب|كنت متعب قليلا امس
00_0082|هو مشاهده هاتف مشاهده|هل رايت هاتفي
00_0083|هو صديق انا|هو صديقي
00_0084|سوال عمر اخ هو|كم هو عمر اخيك
00_0085|انا استيقاظ وقت خمس صباح كل_يوم|استيقظ في الخامسه كل صباح
00_0086|نهايه كتابه منزل نهايه|انتهيت من واجباتي
00_0087|انا خلط اكل خلط كل_يوم ليل|اطبخ كل ليله
00_0088|انا خوف|انا خائف
00_0089|سبب خوف|لماذا انت خائف
00_0090|دعوه مع دعوه اكل ليل دعوه الان ليل|لنتناول العشاء معا الليله
00_0091|سوال كرسي حمام|اين الحمام
00_0092|انا رغبه شرب بقره|اريد ان اشرب الحليب
00_0093|اعاده عوده مدرسه حافله|نعود الى المدرسه بالحافله
00_0094|هو اكل صباح اكل هو|هل اكلت الفطور
00_0095|انا اب خلط اكل نارغرفه|ابي يعد العشاء في المطبخ
00_0096|مكتبه مدرسه جميل|مكتبه المدرسه جميله
00_0097|لا حب اكل موز|لا احل اكل الموز
00_0098|كتاب جواز تذكره طياره حقيبه_يد يوجد|جواز سفري و تذكره الطياره في الحقيبه
00_0099|انا اب حادث|تعرض ابي لحادث
00_0100|انا اكل ليل وقت تسع|انا اكل العشاء الساعه التاسعه
00_0101|انا زوج عمل كثير|زوجي يعمل كثيرا
00_0102|زوج عمل سوال اكل لوحه|زوجي يعمل في المطعم
00_0103|هو طفل رغبه لعب انواع كثير|يريد الطفل العاب متنوعه
00_0104|رغبه حذاء خوف|اريد حذاء جديد
00_0105|انا رغبه تلفاز حاسب خوف|اريد كمبيوتر جديد
00_0106|هو رغبه دراجه|اريد دراجه
00_0107|زهره مطر رغبه|الزهور تحتاج المطر
00_0108|استفهام هو جوع اكل هو|هل انت جائع
00_0109|هو يوجد سلطه اتقان|هل لديك سلطه طازجه
00_0110|استفهام هو تفاحه اتقان|هل لديك تفاح طازج
00_0111|اخ جوع|اخي جائع
00_0112|هو ام جوع|والدتك جائعه
00_0113|الان تفاحه موزه يوجد لوحه|يوجد اليوم تفاح و موز في السوبرماركت
00_0114|هو مساعده|هل تساعدني
00_0115|شرطه استفهام منزل ام سوال|يسالني الشرطي عن مكان والدتي
00_0116|تاريخ زوج هو ذهاب سينما|متى سيذهب زوجك للسينما
00_0117|معلم ذهاب مركز صم يوم الاربعاء|يذهب المعلم الى مركز الصم يوم الاربعاء
00_0118|شخص صم ذهاب مركز صم|يذهب الاصم الى مركز الصم
00_0119|انا بيتزا سوال لوحه اكل|انا اكل البيتزا في المطعم
00_0120|هو رغبه حب اكل شوكولاته بسكوت حب هو|تحب ان تاكل البسكوت و الشوكولاته
00_0121|انا سياره ركوب ذهاب لوحه بقاله شوكولاته|انا اقود الى السوبرماركت
00_0122|بنت دراجه|البنت تركب دراجه
00_0123|انا صديق دراجه ماضي|ركب صديقي دراجه امس
00_0124|شرطه دراجه_ناريه|يركب الشرطي دراجه ناريه
00_0125|ولد صم هو سياره قدره|الرجل الاصم يقود سياره
00_0126|مدرسه شخص سياره ذهاب وصل مركز سياره|ياتي الطالب الى المعهد بالسياره
00_0127|استفهام الحذاء مشاهده سوال|هل رايت الحذاء
00_0128|هو قدره مشاهده نظاره|هل رايت النظارات
00_0129|لاب_توب حاسب مشاهده لاب_توب|هل رايت الكمبيوتر
00_0130|انا ذهاب سينما الان ليل|انا ذاهب الى السينما الليله
00_0131|اخ ذهاب اكل لوحه|ذهب اخي الى المطعم
00_0132|انا ذهاب لوحه شوكولاته بقاله انواع شراء|انا ذاهب الى السوبرماركت
00_0133|زوج ذهاب لوحه بقاله|يذهب الزوج الى السوبرماركت
00_0134|دعوه نداء اكل رغبه تعداد|اطلب من النادل
00_0135|الان برد ليل برد|الجو بارد الليله
00_0136|الان برد ماضي مركز صم|شعرت بالبرد في مركز الصم امس
00_0137|انا شعور برد حافله داخل ليل الان|انا اشعر بالبرد في الحافله الليله
00_0138|شراء شاي شرب رغبه هو|هل تريد شراء الشاي
00_0139|انا شراء شوكولاته|انا اشتري الشوكولاته
00_0140|ولد شخص شراء ماء|الولد يشتري الماء
00_0141|انا غدا حاسب شراء|سوف اشتري كمبيوتر غدا
00_0142|الان خس ال خ س لوحه بقاله|اليوم نشتري الخس من السوبرماركت
00_0143|انا الان خلط اكل|انا اطبخ الان
00_0144|الان خلط لا|لا اطبخ الان
00_0145|وقت سوال حافله دخول|متى تاتي الحافله
00_0146|وقت رئيس ذهاب وقت سوال|متى ياتي الرئيس
00_0147|رقم بسكوت مال تفاحه مال رقم|كم سعر البسكوت والتفاح
00_0148|زوج هو معرفه لغه اشاره|زوجك يتعلم لغه الاشاره
00_0149|هو صديق هو معرفه لغه اشاره|صديقك يتعلم لغه الاشاره
00_0150|بنت هو قراءه|المراه تقرا
00_0151|ولد قراءه|الولد يقرا
00_0152|صديق كتاب قراءه|صديقي يقرا كتاب
00_0153|ام قراءه كل_يوم السبت|الام تقرا كتاب يوم السبت
00_0154|اخ حب كتاب خوف هو|يحب اخوك قراءه كتاب جديد
00_0155|انا حب شاي|نحن نحب الشاي
00_0156|انا حب بقره اتقان|انا احب الحليب الطازج
00_0157|طفل حب ثلج هو|الطفل يحب الثلج
00_0158|انا حب شوكولاته بقره|انا احب الشوكولاته و الحليب
00_0159|هو حب شوكولاته بسكوت|تحب الشوكولاته او البسكوت
00_0160|سلطه اتقان ممتاز|السلطه الطازجه طعمها جيد
00_0161|موزه تفاحه اتقان ممتاز جيد|طعم الموز والتفاح الطازج جيد
00_0162|انا صديق كتابه|صديقي يكتب
00_0163|ممكن صديق قدره كتابه|يمكن لصديقي ان يكتب
00_0164|لعب هو ممتاز|اللعبه جميله
00_0165|انا بحث تفاحه احمر|انا ابحث عن تفاح احمر
00_0166|هو رغبه قهوه شاي رغبه سوال|هل تريد قهوه او شاي
00_0167|هو بحث قهوه شاي|هل تريد شاي ام قهوه
00_0168|انا بحث تفاحه احمر شوكولاته|انا ابحث عن تفاح احمر و شوكولاته
00_0169|رئيس اتصال|الرئيس على الهاتف
00_0170|استفهام غدا صديق لقاء|هل ستلتقي بصديقك غدا
00_0171|انا غدا صديق لقاء|سالتقي بصديقي غدا
00_0172|هو شرب هو|هو يشرب ماء
00_0173|انا شرب ماضي|شربت الماء امس
00_0174|ولد شخص ماء هو|الولد يشرب الماء
00_0175|نسيان دراجه|نسيت الدراجه
00_0176|انا جميع جوع|نحن جائعون
00_0177|حافله خوف هو|الحافله جديده
00_0178|سوال بيتزا|اين البيتزا
00_0179|نظاره غالي|النظارات غاليه
00_0180|حذاء رخيص|الحذاء رخيص
00_0181|حاسب لاب_توب غالي|الكمبيوتر غالي السعر
00_0182|شوكولاته صحه|الشوكولاته صحيه
00_0183|اب مستشفى منزل سبب حادث|والدي في المستشفى لانه تعرض لحادث
00_0184|استئذان عصير تفاحه|من فضلك اعطني عصير تفاح
