id|gloss
00_0001|سوال هو
00_0002|هو معلم لغه اشاره
00_0003|استفهام هو معلم هو
00_0004|هو معلم لا انا مدرسه
00_0005|هو سوال
00_0006|هو صديق مدرسه
00_0007|استفهام هو صديق مدرسه
00_0008|انا اسره رقم ثلاث اشخاص
00_0009|رقم عمر ابن بنت
00_0010|عمر اربع سن عمر
00_0011|عمر سن خمسون سن
00_0012|سوال بنت ابن
00_0013|عمر ابن خمسون سن
00_0014|معرفه هو لغه اشاره
00_0015|معرفه لغه اشاره
00_0016|هو معرفه ام لغه اشاره
00_0017|لا معرفه لغه اشاره
00_0018|ممكن هو قدره كتابه اسم هو
00_0019|انا كتابه
00_0020|استفهام تاريخ الان سوال
00_0021|الان واحد شهر عشر
00_0022|انا ذهاب مدرسه سبب كره_قدم
00_0023|انا قلب قدره
00_0024|هو رغبه شرب سوال
00_0025|انا رغبه شرب شاي
00_0026|هو رغبه اكل سوال
00_0027|انا رغبه اكل رز
00_0028|انا رغبه ذهاب مكتبه بعد صيف
00_0029|هو رغبه بعد صيف سوال
00_0030|انا رغبه ذهاب لوحه بقاله
00_0031|سبب رغبه شراء
00_0032|انا رغبه كوب شراء
00_0033|انا رغبه معرفه لغه اشاره
00_0034|انا رغبه ذهاب مدرسه سبب قراءه غدا
00_0035|رقم معلم مدرسه هو
00_0036|رقم اشخاص مدرسه هو مدرسه
00_0037|سوال قط
00_0038|قط صغير تحت طاوله
00_0039|اب هو منزل يوجد
00_0040|لا منزل لا_يوجد
00_0041|سوال اب
00_0042|اب مستشفى يوجد
00_0043|سوال عمل
00_0044|صديق انا مدرسه
00_0045|انا ام منزل
00_0046|سوال كوب شرب
00_0047|سوال صديق هو
00_0048|قراءه سوال مكان مدرسه
00_0049|طاوله هو سوال
00_0050|طاوله كتاب لاب_توب يوجد
00_0051|هو اسم هو
00_0052|اسم هو ولد خلف
00_0053|استئذان انا كرسي الان
00_0054|استئذان دعوه كرسي
00_0055|سوال كرسي يوجد سوال
00_0056|كرسي قط صغير فوق_كرسي
00_0057|يوجد مدرسه يوجد بيع
00_0058|رقم وقت الان
00_0059|وقت سوال عشر
00_0060|وقت هو صيف اكل وقت سوال
00_0061|تاريخ وقت اب انا منزل اخر تاريخ
00_0062|وقت خمس ليل
